parent id	parent name	child id	child name
FMA20394	human body	FMA7158	respiratory system
FMA7158	respiratory system	FMA45662	lower respiratory tract
FMA45662	lower respiratory tract	FMA7309	right lung
FMA7309	right lung	FMA7383	middle lobe of lung
FMA7383	middle lobe of lung	FMA7360	medial bronchopulmonary segment
FMA7360	medial bronchopulmonary segment	FMA68214	medial segmental bronchial tree
FMA7383	middle lobe of lung	FMA7361	lateral bronchopulmonary segment
FMA7361	lateral bronchopulmonary segment	FMA68215	lateral segmental bronchial tree
FMA7309	right lung	FMA7333	upper lobe of right lung
FMA7333	upper lobe of right lung	FMA7339	right posterior bronchopulmonary segment
FMA7333	upper lobe of right lung	FMA7338	right apical bronchopulmonary segment
FMA7338	right apical bronchopulmonary segment	FMA68211	right apical segmental bronchial tree
FMA7333	upper lobe of right lung	FMA31744	upper lobe part of right bronchial tree
FMA31744	upper lobe part of right bronchial tree	FMA68213	right posterior segmental bronchial tree
FMA7333	upper lobe of right lung	FMA7359	right anterior bronchopulmonary segment
FMA7359	right anterior bronchopulmonary segment	FMA68212	right anterior segmental bronchial tree
FMA7309	right lung	FMA7337	lower lobe of right lung
FMA7337	lower lobe of right lung	FMA7362	right posterior basal bronchopulmonary segment
FMA7337	lower lobe of right lung	FMA7363	right lateral basal bronchopulmonary segment
FMA7363	right lateral basal bronchopulmonary segment	FMA68220	right lateral basal segmental bronchial tree
FMA7337	lower lobe of right lung	FMA7365	right medial basal bronchopulmonary segment
FMA7365	right medial basal bronchopulmonary segment	FMA68218	right medial basal segmental bronchial tree
FMA7337	lower lobe of right lung	FMA7364	right anterior basal bronchopulmonary segment
FMA7364	right anterior basal bronchopulmonary segment	FMA68321	right anterior basal segmental bronchial tree
FMA7337	lower lobe of right lung	FMA7366	right superior bronchopulmonary segment
FMA7309	right lung	FMA68003	intrapulmonary part of right inferior pulmonary vein
FMA45662	lower respiratory tract	FMA7310	left lung
FMA7310	left lung	FMA67995	intrapulmonary part of left pulmonary artery
FMA7310	left lung	FMA7371	lower lobe of left lung
FMA7371	lower lobe of left lung	FMA7379	left lateral basal bronchopulmonary segment
FMA7379	left lateral basal bronchopulmonary segment	FMA68232	left lateral basal segmental bronchial tree
FMA7371	lower lobe of left lung	FMA7378	left anterior basal bronchopulmonary segment
FMA7371	lower lobe of left lung	FMA7380	left posterior basal bronchopulmonary segment
FMA7380	left posterior basal bronchopulmonary segment	FMA68233	left posterior basal segmental bronchial tree
FMA7371	lower lobe of left lung	FMA7377	left medial basal bronchopulmonary segment
FMA7371	lower lobe of left lung	FMA7376	left superior bronchopulmonary segment
FMA7376	left superior bronchopulmonary segment	FMA68228	left superior segmental bronchial tree
FMA7310	left lung	FMA7370	upper lobe of left lung
FMA7370	upper lobe of left lung	FMA7385	left apical bronchopulmonary segment
FMA7385	left apical bronchopulmonary segment	FMA68223	left apical segmental bronchial tree
FMA7370	upper lobe of left lung	FMA7375	inferior lingular bronchopulmonary segment
FMA7370	upper lobe of left lung	FMA7372	apicoposterior bronchopulmonary segment
FMA7370	upper lobe of left lung	FMA31746	upper lobe part of left bronchial tree
FMA31746	upper lobe part of left bronchial tree	FMA68317	superior division of upper lobe part of left bronchial tree
FMA31746	upper lobe part of left bronchial tree	FMA68225	left posterior segmental bronchial tree
FMA31746	upper lobe part of left bronchial tree	FMA68318	inferior division of upper lobe part of left bronchial tree
FMA68318	inferior division of upper lobe part of left bronchial tree	FMA68227	inferior lingular bronchial tree
FMA7370	upper lobe of left lung	FMA7374	superior lingular bronchopulmonary segment
FMA7374	superior lingular bronchopulmonary segment	FMA68226	superior lingular bronchial tree
FMA7370	upper lobe of left lung	FMA7373	left anterior bronchopulmonary segment
FMA7373	left anterior bronchopulmonary segment	FMA68222	left anterior segmental bronchial tree
FMA7370	upper lobe of left lung	FMA7386	left posterior bronchopulmonary segment
FMA45662	lower respiratory tract	FMA7393	tracheobronchial tree
FMA7393	tracheobronchial tree	FMA26661	right bronchial tree
FMA26661	right bronchial tree	FMA68418	right main bronchus proper
FMA26661	right bronchial tree	FMA68319	inferomedial part of right bronchial tree
FMA68319	inferomedial part of right bronchial tree	FMA31747	lower lobe part of right bronchial tree
FMA31747	lower lobe part of right bronchial tree	FMA68216	right superior segmental bronchial tree
FMA31747	lower lobe part of right bronchial tree	FMA68221	right posterior basal segmental bronchial tree
FMA68319	inferomedial part of right bronchial tree	FMA31741	middle lobe part of right bronchial tree
FMA7393	tracheobronchial tree	FMA26662	left bronchial tree
FMA26662	left bronchial tree	FMA7396	left main bronchus
FMA26662	left bronchial tree	FMA31748	lower lobe part of left bronchial tree
FMA31748	lower lobe part of left bronchial tree	FMA68230	left medial basal segmental bronchial tree
FMA31748	lower lobe part of left bronchial tree	FMA68231	left anterior basal segmental bronchial tree
FMA7393	tracheobronchial tree	FMA7394	trachea
FMA20394	human body	FMA7157	nervous system
FMA7157	nervous system	newnode5998187	sensory organs
newnode5998187	sensory organs	FMA54450	left eye
FMA54450	left eye	newnodeL1	left orbit and contents
newnodeL1	left orbit and contents	FMA72953	orbital part of left eye
FMA54450	left eye	newnodeL7	left optic pathway
newnodeL7	left optic pathway	FMA67936	left optic tract
newnodeL7	left optic pathway	FMA50878	left optic nerve
FMA54450	left eye	newnodeL6	left orbital nerves
newnodeL6	left orbital nerves	FMA50882	left trochlear nerve
newnodeL6	left orbital nerves	newnode1934002	left ophthalmic nerve
newnode1934002	left ophthalmic nerve	newnode7310394	left lacrimal nerve
newnode1934002	left ophthalmic nerve	newnode3472436	left frontal nerve
newnode3472436	left frontal nerve	newnode8330426	left supra-orbital nerve
newnode3472436	left frontal nerve	newnode6754174	left supratrochlear nerve
newnode3472436	left frontal nerve	newnode2335927	left nasociliary nerve
newnode2335927	left nasociliary nerve	newnode9137590	left posterior ethmoidal nerve
newnode2335927	left nasociliary nerve	newnode5590448	left anterior ethmoidal nerve
newnode2335927	left nasociliary nerve	newnode4760128	left infratrochlear nerve
newnodeL6	left orbital nerves	newnode1950211	left short ciliary nerve
newnodeL6	left orbital nerves	newnode2839354	left oculomotor nerve
newnode2839354	left oculomotor nerve	FMA52577	inferior branch of left oculomotor nerve
newnode2839354	left oculomotor nerve	FMA52575	superior branch of left oculomotor nerve
newnodeL6	left orbital nerves	newnode2807449	left long ciliary nerve
newnodeL6	left orbital nerves	newnode3011078	left communicating branch of nasociliary nerve with ciliary ganglion
newnodeL6	left orbital nerves	FMA53550	left ciliary ganglion
FMA54450	left eye	newnodeL2	left extraocular muscles
newnodeL2	left extraocular muscles	newnode4882954	left superior oblique
newnodeL2	left extraocular muscles	newnode3831482	left lateral rectus
newnodeL2	left extraocular muscles	newnode5804790	left superior rectus
newnodeL2	left extraocular muscles	newnode5917092	left inferior oblique
newnodeL2	left extraocular muscles	newnode2008462	left inferior rectus
newnodeL2	left extraocular muscles	FMA49073	left common tendinous ring
newnodeL2	left extraocular muscles	newnode920813	left medial rectus
FMA54450	left eye	newnodeL4	left lacrimal apparatus
newnodeL4	left lacrimal apparatus	FMA59369	left lacrimal apparatus
FMA59369	left lacrimal apparatus	FMA61065	left lacrimal duct
FMA61065	left lacrimal duct	FMA59583	left lacrimal canaliculus
FMA61065	left lacrimal duct	FMA59542	left lacrimal lake
FMA61065	left lacrimal duct	FMA59556	left nasolacrimal duct
FMA61065	left lacrimal duct	FMA59546	left lacrimal sac
FMA59369	left lacrimal apparatus	FMA59103	left lacrimal gland
FMA54450	left eye	newnodeL5	left eyeball and chambers
newnodeL5	left eyeball and chambers	FMA12515	left eyeball
FMA12515	left eyeball	FMA58237	left iris
FMA12515	left eyeball	FMA58243	left lens
FMA12515	left eyeball	FMA58108	vascular layer of left eyeball
FMA58108	vascular layer of left eyeball	FMA58300	left choroid
FMA12515	left eyeball	FMA58100	wall of left eyeball
FMA58100	wall of left eyeball	FMA58106	fibrous layer of left eyeball
FMA58106	fibrous layer of left eyeball	FMA58272	left sclera
FMA58106	fibrous layer of left eyeball	FMA58240	left cornea
FMA12515	left eyeball	FMA58829	left vitreous body
FMA12515	left eyeball	FMA58484	left corona ciliaris
FMA12515	left eyeball	FMA58608	optic part of left retina
FMA12515	left eyeball	FMA58840	suspensory ligament of left lens
newnodeL5	left eyeball and chambers	FMA58082	anterior chamber of left eyeball
FMA54450	left eye	newnodeL3	left eyelids
newnodeL3	left eyelids	FMA54441	left upper eyelid
FMA54441	left upper eyelid	FMA59092	tarsal plate of left upper eyelid
FMA54441	left upper eyelid	newnode8540308	left levator palpebrae superioris
newnodeL3	left eyelids	FMA54444	left lower eyelid
FMA54444	left lower eyelid	FMA59090	tarsal plate of left lower eyelid
FMA54450	left eye	newnodeL8	left supporting ligaments
newnodeL8	left supporting ligaments	newnode485028	ligaments of left eye
newnode485028	ligaments of left eye	newnode2572944	left trochlea of superior oblique
newnode485028	ligaments of left eye	newnode280734	check ligaments of left eye
newnode280734	check ligaments of left eye	newnode3052776	left check ligament of medial rectus
newnode280734	check ligaments of left eye	newnode1919476	left check ligament of lateral rectus
newnode5998187	sensory organs	FMA54449	right eye
FMA54449	right eye	newnodeR8	right supporting ligaments
newnodeR8	right supporting ligaments	newnode1171614	ligaments of right eye
newnode1171614	ligaments of right eye	newnode7976676	right trochlea of superior oblique
newnode1171614	ligaments of right eye	newnode8156651	check ligaments of right eye
newnode8156651	check ligaments of right eye	newnode5475607	right check ligament of medial rectus
newnode8156651	check ligaments of right eye	newnode2865148	right check ligament of lateral rectus
FMA54449	right eye	newnodeR7	right optic pathway
newnodeR7	right optic pathway	FMA62382	right optic tract
newnodeR7	right optic pathway	FMA50875	right optic nerve
FMA54449	right eye	newnodeR1	right orbit and contents
newnodeR1	right orbit and contents	FMA72952	orbital part of right eye
FMA54449	right eye	newnodeR4	right lacrimal apparatus
newnodeR4	right lacrimal apparatus	FMA59368	right lacrimal apparatus
FMA59368	right lacrimal apparatus	FMA59102	right lacrimal gland
FMA59368	right lacrimal apparatus	FMA61064	right lacrimal duct
FMA61064	right lacrimal duct	FMA59545	right lacrimal sac
FMA61064	right lacrimal duct	FMA59582	right lacrimal canaliculus
FMA61064	right lacrimal duct	FMA59555	right nasolacrimal duct
FMA61064	right lacrimal duct	FMA59541	right lacrimal lake
FMA54449	right eye	newnodeR2	right extraocular muscles
newnodeR2	right extraocular muscles	newnode4365166	right lateral rectus
newnodeR2	right extraocular muscles	newnode8842316	right inferior rectus
newnodeR2	right extraocular muscles	newnode8298885	right superior rectus
newnodeR2	right extraocular muscles	newnode7655183	right inferior oblique
newnodeR2	right extraocular muscles	newnode8794453	right medial rectus
newnodeR2	right extraocular muscles	newnode1681831	right superior oblique
newnodeR2	right extraocular muscles	FMA49072	right common tendinous ring
FMA54449	right eye	newnodeR6	right orbital nerves
newnodeR6	right orbital nerves	FMA50881	right trochlear nerve
newnodeR6	right orbital nerves	FMA53549	right ciliary ganglion
newnodeR6	right orbital nerves	newnode7170538	right oculomotor nerve
newnode7170538	right oculomotor nerve	FMA52576	inferior branch of right oculomotor nerve
newnode7170538	right oculomotor nerve	FMA52574	superior branch of right oculomotor nerve
newnodeR6	right orbital nerves	newnode4786691	right long ciliary nerve
newnodeR6	right orbital nerves	newnode2985953	right short ciliary nerve
newnodeR6	right orbital nerves	newnode9139479	right communicating branch of nasociliary nerve with ciliary ganglion
newnodeR6	right orbital nerves	newnode7447182	right ophthalmic nerve
newnode7447182	right ophthalmic nerve	newnode3852853	right frontal nerve
newnode3852853	right frontal nerve	newnode9936514	right nasociliary nerve
newnode9936514	right nasociliary nerve	newnode272131	right infratrochlear nerve
newnode9936514	right nasociliary nerve	newnode2506987	right posterior ethmoidal nerve
newnode9936514	right nasociliary nerve	newnode6418060	right anterior ethmoidal nerve
newnode3852853	right frontal nerve	newnode5061901	right supra-orbital nerve
newnode3852853	right frontal nerve	newnode1826999	right supratrochlear nerve
newnode7447182	right ophthalmic nerve	newnode7863063	right lacrimal nerve
FMA54449	right eye	newnodeR5	right eyeball and chambers
newnodeR5	right eyeball and chambers	FMA58081	anterior chamber of right eyeball
newnodeR5	right eyeball and chambers	FMA12514	right eyeball
FMA12514	right eyeball	FMA58483	right corona ciliaris
FMA12514	right eyeball	FMA58607	optic part of right retina
FMA12514	right eyeball	FMA58107	vascular layer of right eyeball
FMA58107	vascular layer of right eyeball	FMA58299	right choroid
FMA12514	right eyeball	FMA58828	right vitreous body
FMA12514	right eyeball	FMA58839	suspensory ligament of right lens
FMA12514	right eyeball	FMA58236	right iris
FMA12514	right eyeball	FMA58242	right lens
FMA12514	right eyeball	FMA58099	wall of right eyeball
FMA58099	wall of right eyeball	FMA58105	fibrous layer of right eyeball
FMA58105	fibrous layer of right eyeball	FMA58239	right cornea
FMA58105	fibrous layer of right eyeball	FMA58271	right sclera
FMA54449	right eye	newnodeR3	right eyelids
newnodeR3	right eyelids	FMA54443	right lower eyelid
FMA54443	right lower eyelid	FMA59089	tarsal plate of right lower eyelid
newnodeR3	right eyelids	FMA54440	right upper eyelid
FMA54440	right upper eyelid	FMA59091	tarsal plate of right upper eyelid
FMA54440	right upper eyelid	FMA54158	tendon of levator palpebrae superioris
FMA54158	tendon of levator palpebrae superioris	FMA54159	tendon of right levator palpebrae superioris
FMA54440	right upper eyelid	newnode4390438	right levator palpebrae superioris
FMA7157	nervous system	FMA50801	brain
FMA50801	brain	FMA242675	ventricular system of the brain
FMA242675	ventricular system of the brain	FMA61975	lamina terminalis
FMA242675	ventricular system of the brain	FMA75351	interventricular foramen
FMA242675	ventricular system of the brain	FMA78454	third ventricle
FMA242675	ventricular system of the brain	FMA78469	fourth ventricle
FMA242675	ventricular system of the brain	FMA78448	lateral ventricle
FMA78448	lateral ventricle	FMA78450	left lateral ventricle
FMA78448	lateral ventricle	FMA78449	right lateral ventricle
FMA242675	ventricular system of the brain	FMA78497	central canal
FMA242675	ventricular system of the brain	FMA61934	choroid plexus
FMA242675	ventricular system of the brain	FMA61842	septum pellucidum
FMA242675	ventricular system of the brain	FMA78467	cerebral aqueduct
FMA50801	brain	FMA62001	diencephalon
FMA62001	diencephalon	FMA62007	thalamus
FMA62007	thalamus	FMA258716	left thalamus
FMA62007	thalamus	FMA256693	nucleus of thalamus
FMA256693	nucleus of thalamus	FMA62211	medial geniculate body
FMA62211	medial geniculate body	FMA73309	right medial geniculate body
FMA62211	medial geniculate body	FMA73310	left medial geniculate body
FMA256693	nucleus of thalamus	FMA62209	lateral geniculate body
FMA62209	lateral geniculate body	FMA73304	left lateral geniculate body
FMA62209	lateral geniculate body	FMA73303	right lateral geniculate body
FMA62007	thalamus	FMA62080	stria medullaris of thalamus
FMA62080	stria medullaris of thalamus	FMA73413	right stria medullaris of thalamus
FMA62080	stria medullaris of thalamus	FMA73414	left stria medullaris of thalamus
FMA62007	thalamus	FMA258714	right thalamus
FMA62001	diencephalon	FMA62009	epithalamus
FMA62009	epithalamus	FMA62033	pineal body
FMA62009	epithalamus	FMA62032	habenula
FMA62001	diencephalon	FMA62045	optic chiasm
FMA62001	diencephalon	FMA62008	hypothalamus
FMA62008	hypothalamus	FMA74877	mammillary body
FMA62008	hypothalamus	FMA62327	tuber cinereum
FMA50801	brain	FMA67944	cerebellum
FMA50801	brain	FMA83966	tentorium cerebelli
FMA50801	brain	FMA61992	cerebrum
FMA61992	cerebrum	FMA67292	right cerebral hemisphere
FMA67292	right cerebral hemisphere	FMA72969	right frontal lobe
FMA72969	right frontal lobe	newnode5195882	right prefrontal cortex
newnode5195882	right prefrontal cortex	newnode3940464	right orbital gyrus
newnode5195882	right prefrontal cortex	FMA72653	right superior frontal gyrus
newnode5195882	right prefrontal cortex	FMA72657	right inferior frontal gyrus
newnode5195882	right prefrontal cortex	FMA72655	right middle frontal gyrus
FMA72969	right frontal lobe	FMA72661	right precentral gyrus
FMA67292	right cerebral hemisphere	FMA72973	right parietal lobe
FMA72973	right parietal lobe	FMA72671	right superior parietal lobule
FMA72671	right superior parietal lobule	BP50	right superior parietal lobule precuneus (available in BP3D 3.0)
FMA72973	right parietal lobe	FMA72669	right angular gyrus
FMA72973	right parietal lobe	FMA72665	right postcentral gyrus
FMA72973	right parietal lobe	FMA72667	right supramarginal gyrus
FMA67292	right cerebral hemisphere	FMA72977	right insula
FMA72977	right insula	FMA72701	right accessory short gyrus (available in BP3D 3.0)
FMA67292	right cerebral hemisphere	FMA72971	right temporal lobe
FMA72971	right temporal lobe	FMA72687	right inferior temporal gyrus
FMA72971	right temporal lobe	FMA72685	right middle temporal gyrus
FMA72971	right temporal lobe	FMA72705	right parahippocampal gyrus
FMA72971	right temporal lobe	FMA72689	right fusiform gyrus
FMA72971	right temporal lobe	newnode9149754	right superior temporal gyrus
newnode9149754	right superior temporal gyrus	FMA72800	anterior part of right superior temporal gyrus
newnode9149754	right superior temporal gyrus	FMA72804	posterior part of right superior temporal gyrus
FMA67292	right cerebral hemisphere	FMA242184	subcortical structures of right cerebral hemisphere
FMA242184	subcortical structures of right cerebral hemisphere	FMA260791	white matter of right cerebral hemisphere
FMA260791	white matter of right cerebral hemisphere	FMA72924	right fornix of forebrain
FMA260791	white matter of right cerebral hemisphere	FMA72906	right internal capsule
FMA260791	white matter of right cerebral hemisphere	FMA61974	right stria terminalis
FMA67292	right cerebral hemisphere	FMA72975	right occipital lobe
FMA67292	right cerebral hemisphere	newnode573154	basal nuclei of right cerebral hemisphere
newnode573154	basal nuclei of right cerebral hemisphere	FMA72828	right putamen
newnode573154	basal nuclei of right cerebral hemisphere	FMA72832	right amygdala
newnode573154	basal nuclei of right cerebral hemisphere	FMA72830	right globus pallidus
newnode573154	basal nuclei of right cerebral hemisphere	FMA72826	right caudate nucleus
FMA67292	right cerebral hemisphere	FMA72980	right limbic lobe
FMA72980	right limbic lobe	FMA72717	right cingulate gyrus
FMA72980	right limbic lobe	FMA72713	right hippocampus
FMA61992	cerebrum	FMA61970	commissure of fornix
FMA61992	cerebrum	FMA61822	white matter structure of cerebral hemisphere (available in BP3D 3.0)
FMA61992	cerebrum	FMA61819	left cerebral hemisphere
FMA61819	left cerebral hemisphere	FMA72972	left temporal lobe
FMA72972	left temporal lobe	newnode1495492	left superior temporal gyrus
newnode1495492	left superior temporal gyrus	FMA72801	anterior part of left superior temporal gyrus
newnode1495492	left superior temporal gyrus	FMA72805	posterior part of left superior temporal gyrus
FMA72972	left temporal lobe	FMA72706	left parahippocampal gyrus
FMA72972	left temporal lobe	FMA72688	left inferior temporal gyrus
FMA72972	left temporal lobe	FMA72690	left fusiform gyrus
FMA72972	left temporal lobe	FMA72686	left middle temporal gyrus
FMA61819	left cerebral hemisphere	FMA72981	left limbic lobe
FMA72981	left limbic lobe	FMA72718	left cingulate gyrus
FMA72981	left limbic lobe	FMA72714	left hippocampus
FMA61819	left cerebral hemisphere	FMA72978	left insula
FMA72978	left insula	FMA72702	left accessory short gyrus (available in BP3D 3.0)
FMA61819	left cerebral hemisphere	FMA72970	left frontal lobe
FMA72970	left frontal lobe	FMA72662	left precentral gyrus
FMA72970	left frontal lobe	FMA242627	left prefrontal cortex
FMA242627	left prefrontal cortex	FMA72656	left middle frontal gyrus
FMA242627	left prefrontal cortex	FMA256194	left orbital gyrus
FMA242627	left prefrontal cortex	FMA72654	left superior frontal gyrus
FMA242627	left prefrontal cortex	FMA72658	left inferior frontal gyrus
FMA61819	left cerebral hemisphere	FMA72974	left parietal lobe
FMA72974	left parietal lobe	FMA72668	left supramarginal gyrus
FMA72974	left parietal lobe	FMA72670	left angular gyrus
FMA72974	left parietal lobe	FMA72666	left postcentral gyrus
FMA72974	left parietal lobe	FMA72672	left superior parietal lobule
FMA72672	left superior parietal lobule	BP49	left superior parietal lobule precuneus (available in BP3D 3.0)
FMA61819	left cerebral hemisphere	newnode4403330	subcortical structures of left cerebral hemisphere
newnode4403330	subcortical structures of left cerebral hemisphere	FMA260794	white matter of left cerebral hemisphere
FMA260794	white matter of left cerebral hemisphere	FMA72907	left internal capsule
FMA260794	white matter of left cerebral hemisphere	FMA72940	left stria terminalis
FMA260794	white matter of left cerebral hemisphere	FMA86464	corpus callosum
FMA260794	white matter of left cerebral hemisphere	FMA61961	anterior commissure
FMA260794	white matter of left cerebral hemisphere	FMA72925	left fornix of forebrain
newnode4403330	subcortical structures of left cerebral hemisphere	newnode6204201	basal nuclei of left cerebral hemisphere
newnode6204201	basal nuclei of left cerebral hemisphere	FMA72827	left caudate nucleus
newnode6204201	basal nuclei of left cerebral hemisphere	FMA72829	left putamen
newnode6204201	basal nuclei of left cerebral hemisphere	FMA72831	left globus pallidus
newnode6204201	basal nuclei of left cerebral hemisphere	FMA72833	left amygdala
FMA61819	left cerebral hemisphere	FMA72976	left occipital lobe
FMA50801	brain	FMA79876	brainstem
FMA79876	brainstem	FMA67943	pons
FMA79876	brainstem	FMA62004	medulla oblongata
FMA79876	brainstem	FMA61993	midbrain
FMA61993	midbrain	newnode5199532	cerebral aqueduct
FMA61993	midbrain	FMA71114	brachium of inferior colliculus
FMA71114	brachium of inferior colliculus	FMA73464	brachium of left inferior colliculus
FMA71114	brachium of inferior colliculus	FMA73463	brachium of right inferior colliculus
FMA61993	midbrain	FMA62394	cerebral peduncles
FMA61993	midbrain	FMA83740	interpeduncular fossa
FMA61993	midbrain	FMA83902	midbrain tectum
FMA83902	midbrain tectum	FMA73423	left superior colliculus
FMA83902	midbrain tectum	FMA73435	left inferior colliculus
FMA83902	midbrain tectum	FMA73422	right superior colliculus
FMA83902	midbrain tectum	FMA73434	right inferior colliculus
FMA61993	midbrain	FMA62072	posterior commissure
FMA61993	midbrain	FMA72417	brachium of superior colliculus
FMA72417	brachium of superior colliculus	FMA73462	brachium of left superior colliculus
FMA72417	brachium of superior colliculus	FMA73461	brachium of right superior colliculus
FMA20394	human body	FMA7159	urinary system
FMA7159	urinary system	FMA71102	right upper urinary tract
FMA71102	right upper urinary tract	FMA15571	right ureter
FMA71102	right upper urinary tract	FMA7204	right kidney
FMA7159	urinary system	FMA71103	left upper urinary tract
FMA71103	left upper urinary tract	FMA15572	left ureter
FMA71103	left upper urinary tract	FMA7205	left kidney
FMA7159	urinary system	FMA45659	lower urinary tract
FMA45659	lower urinary tract	FMA19667	urethra
FMA45659	lower urinary tract	FMA15900	urinary bladder
FMA20394	human body	FMA7160	reproductive system
FMA7160	reproductive system	FMA7066	male reproductive system
FMA7066	male reproductive system	FMA19616	penis
FMA19616	penis	FMA19617	corpus spongiosum of penis
FMA19617	corpus spongiosum of penis	FMA18247	glans penis
FMA19616	penis	FMA19618	corpus cavernosum of penis
FMA7066	male reproductive system	FMA19386	seminal vesicle
FMA19386	seminal vesicle	FMA19388	left seminal vesicle
FMA19386	seminal vesicle	FMA19387	right seminal vesicle
FMA7066	male reproductive system	FMA7210	testis
FMA7210	testis	FMA7212	left testis
FMA7210	testis	FMA7211	right testis
FMA7066	male reproductive system	FMA18255	epididymis
FMA18255	epididymis	FMA18257	left epididymis
FMA18255	epididymis	FMA18256	right epididymis
FMA7066	male reproductive system	FMA19234	deferent duct
FMA19234	deferent duct	FMA19235	right deferent duct
FMA19234	deferent duct	FMA19236	left deferent duct
FMA7066	male reproductive system	FMA9600	prostate
FMA20394	human body	FMA7161	cardiovascular system
FMA7161	cardiovascular system	FMA45626	systemic venous system
FMA45626	systemic venous system	FMA45628	portal venous system
FMA45628	portal venous system	FMA50735	hepatic portal vein
FMA50735	hepatic portal vein	FMA15415	left portal vein
FMA15415	left portal vein	FMA82697	trunk of left portal vein
FMA15415	left portal vein	FMA15427	medial branch of left portal vein
FMA15427	medial branch of left portal vein	FMA15428	medial superior segmental branch of left portal vein
FMA15427	medial branch of left portal vein	FMA15429	medial inferior segmental branch of left portal vein
FMA15415	left portal vein	FMA15425	caudate lobe branch of left portal vein
FMA15415	left portal vein	FMA15430	lateral branch of left portal vein
FMA15430	lateral branch of left portal vein	FMA15431	lateral superior segmental branch of left portal vein
FMA15430	lateral branch of left portal vein	FMA15432	lateral inferior segmental branch of left portal vein
FMA50735	hepatic portal vein	FMA15414	right portal vein
FMA15414	right portal vein	FMA15419	anterior branch of right portal vein
FMA15419	anterior branch of right portal vein	FMA15421	anterior inferior segmental branch of right portal vein
FMA15419	anterior branch of right portal vein	FMA15420	anterior superior segmental branch of right portal vein
FMA15414	right portal vein	FMA82695	trunk of right portal vein
FMA15414	right portal vein	FMA82706	caudate lobe branch of right portal vein
FMA15414	right portal vein	FMA15422	posterior branch of right portal vein
FMA15422	posterior branch of right portal vein	FMA15424	posterior inferior segmental branch of right portal vein
FMA15422	posterior branch of right portal vein	FMA15423	posterior superior segmental branch of right portal vein
FMA45628	portal venous system	FMA71904	pre-hepatic portal vein
FMA71904	pre-hepatic portal vein	FMA14332	superior mesenteric vein
FMA14332	superior mesenteric vein	FMA15408	ileocolic vein
FMA14332	superior mesenteric vein	FMA15405	ileal vein
FMA14332	superior mesenteric vein	FMA15406	middle colic vein
FMA14332	superior mesenteric vein	FMA15400	right gastric vein
FMA14332	superior mesenteric vein	FMA15397	right gastroepiploic vein
FMA14332	superior mesenteric vein	FMA15407	right colic vein
FMA14332	superior mesenteric vein	FMA15399	left gastric vein
FMA14332	superior mesenteric vein	FMA15398	pancreaticoduodenal vein
FMA71904	pre-hepatic portal vein	FMA14331	splenic vein
FMA14331	splenic vein	FMA15390	left gastroepiploic vein
FMA14331	splenic vein	FMA15391	inferior mesenteric vein
FMA15391	inferior mesenteric vein	FMA15393	superior rectal vein
FMA15391	inferior mesenteric vein	FMA15394	left colic vein
FMA15391	inferior mesenteric vein	FMA15395	sigmoid vein
FMA45626	systemic venous system	FMA82672	superior systemic venous tree
FMA82672	superior systemic venous tree	FMA4720	superior vena cava
FMA4720	superior vena cava	FMA4761	left brachiocephalic vein
FMA4761	left brachiocephalic vein	FMA4763	left subclavian vein
FMA4763	left subclavian vein	FMA13331	left axillary vein
FMA13331	left axillary vein	newnode_left_arm_veins	left arm veins
newnode_left_arm_veins	left arm veins	FMA13326	left cephalic vein
FMA13326	left cephalic vein	FMA62507	dorsal venous network of left hand
newnode_left_arm_veins	left arm veins	FMA22910	left basilic vein
FMA22910	left basilic vein	FMA22965	left median cubital vein
FMA22910	left basilic vein	FMA22969	left median antebrachial vein
newnode_left_arm_veins	left arm veins	FMA22936	left medial brachial vein
FMA22936	left medial brachial vein	FMA22952	left ulnar vein
FMA22952	left ulnar vein	FMA22916	left superficial palmar venous arch
FMA22916	left superficial palmar venous arch	newnode2482805	proper palmar digital vein of left little finger
FMA22916	left superficial palmar venous arch	newnode5984806	proper palmar digital vein of left ring finger
FMA22916	left superficial palmar venous arch	newnode7632083	proper palmar digital vein of left index finger
FMA22916	left superficial palmar venous arch	newnode3724729	left common palmar digital vein
FMA22916	left superficial palmar venous arch	newnode2584901	proper palmar digital vein of left middle finger
FMA22952	left ulnar vein	FMA22913	left deep palmar venous arch
FMA22913	left deep palmar venous arch	FMA22921	left palmar metacarpal vein
FMA22936	left medial brachial vein	FMA22949	left radial vein
FMA13331	left axillary vein	FMA77950	left circumflex scapular vein
FMA13331	left axillary vein	FMA77955	left anterior circumflex humeral vein
FMA13331	left axillary vein	FMA23115	left subscapular vein
FMA23115	left subscapular vein	FMA71215	left thoracodorsal vein
FMA13331	left axillary vein	FMA71212	left lateral thoracic vein
FMA4763	left subclavian vein	FMA50860	left suprascapular vein
FMA4761	left brachiocephalic vein	newnode_left_neck_veins	left neck veins
newnode_left_neck_veins	left neck veins	FMA4762	left internal jugular vein
FMA4761	left brachiocephalic vein	FMA4786	left musculophrenic vein
FMA4720	superior vena cava	FMA4797	left superior intercostal vein
FMA4720	superior vena cava	FMA4838	azygos vein
FMA4838	azygos vein	newnode1566716	right anterior intercostal veins
FMA4838	azygos vein	FMA5011	accessory hemiazygos vein
FMA5011	accessory hemiazygos vein	FMA70839	left anterior intercostal veins
